English;Spanish;German;Japanese;Chinese (Simplified);Chinese (Traditional);Korean;Portuguese;French;Italian;Dutch;Swedish;Norwegian;Danish;Hindi;Urdu;Russian;Arabic;Category
capacity;capacidad;Kapazität;容量;容量;容量;용량;capacidade;capacité;capacità;capaciteit;kapacitet;kapasitet;kapacitet;क्षमता;صلاحیت;емкость;سعة;Word
capital;capital;Hauptstadt;資本;首都;首都;수도;capital;capital;capitale;hoofdstad;huvudstad;hovedstad;kapital;राजधानी;سرمایہ;капитал;عاصمة;Word
captain;capitán;Kapitän;キャプテン;队长;隊長;선장;capitão;capitaine;Capitano;gezagvoerder;kapten;kaptein;kaptajn;कप्तान;کپتان;капитан;قائد المنتخب;Word
capture;captura;ergreifen;捕獲;捕获;捕獲;포착;capturar;capture;catturare;vastlegging;fånga;fange;fange;कब्ज़ा करना;قبضہ;захватывать;يأسر;Word
car;auto;Auto;車;车;車;자동차;carro;voiture;auto;auto;bil;bil;bil;कार;گاڑی;машина;سيارة;Word
card;tarjeta;Karte;カード;卡片;卡片;카드;cartão;carte;carta;kaart;kort;kort;kort;कार्ड;کارڈ;карта;بطاقة;Word
care;cuidado;Pflege;お手入れ;关心;關心;케어;Cuidado;se soucier;cura;zorg;vård;omsorg;omsorg;देखभाल;دیکھ بھال;Забота;رعاية;Word
career;carrera;Karriere;キャリア;职业;職業;직업;carreira;carrière;carriera;carrière;karriär;karriere;karriere;आजीविका;کیریئر;карьера;حياة مهنية;Word
careful;cuidadoso;vorsichtig;気をつけろ;小心;小心;주의 깊은;cuidadoso;minutieux;attento;voorzichtig;försiktig;forsiktig;forsigtig;सावधान;ہوشیار;осторожный;حذر;Word
careless;descuidado;leichtsinnig;不注意;粗心;粗心;경솔한;descuidado;imprudent;negligente;onzorgvuldig;slarvig;uforsiktig;ligegyldig;लापरवाह;لاپرواہ;беспечный;غير مبالي;Word
carpet;alfombra;Teppich;カーペット;地毯;地毯;양탄자;tapete;tapis;tappeto;tapijt;matta;teppe;tæppe;कालीन;قالین;ковер;سجادة;Word
carrot;zanahoria;Karotte;にんじん;胡萝卜;胡蘿蔔;당근;cenoura;carotte;carota;wortel;morot;gulrot;gulerod;गाजर;گاجر;морковь;جزرة;Word
carry;llevar;tragen;運ぶ;携带;攜帶;나르다;carregar;porter;trasportare;dragen;bära;bære;bære;ढोना;لے جانا;нести;يحمل;Word
carry on;continuar;fortfahren;続ける;继续;繼續;계속하다;continuar;continuer;proseguire;Ga verder;Fortsätt;Fortsett;Fortsæt;जारी रखना;جاری رکھو;продолжать;حمل;Word
case;caso;Fall;場合;案件;案件;사례;caso;cas;caso;geval;fall;sak;sag;मामला;معاملہ;случай;قضية;Word
cash;dinero;Kasse;現金;现金;現金;현금;dinheiro;espèces;contanti;contant geld;kontanter;penger;kontanter;नकद;نقد;наличные;نقدي;Word
cast;elenco;gießen;キャスト;投掷;投擲;깁스;elenco;jeter;lancio;vorm;kasta;rollebesetning;støbt;ढालना;کاسٹ;бросать;يقذف;Word
cat;gato;Katze;猫;猫;貓;고양이;gato;chat;gatto;kat;katt;katt;kat;बिल्ली;کیٹ;кот;قطة;Word
catch;atrapar;fangen;キャッチ;抓住;抓住;잡다;pegar;attraper;presa;vangst;fånga;å fange;fangst;पकड़ना;پکڑنا;ловить;يمسك;Word
category;categoría;Kategorie;カテゴリー;类别;類別;범주;categoria;catégorie;categoria;categorie;kategori;kategori;kategori;वर्ग;قسم;категория;فئة;Word
cattle;ganado;Vieh;牛;牛;牛;가축;gado;bétail;bestiame;vee;nötkreatur;kveg;kvæg;पशु;مویشی;крупный рогатый скот;ماشية;Word
cause;causa;Ursache;原因;原因;原因;원인;causa;cause;causa;oorzaak;orsak;årsaken;årsag;कारण;وجہ;причина;سبب;Word
CD;CD;CD;CD;光盘;光盤;CD;CD;CD;CD;CD;CD;CD;CD;सीडी;سی ڈی;CD;قرص مضغوط;Word
cease;cesar;beenden;やめる;停止;停止;중지;cessar;cesser;cessare;ophouden;upphöra;opphøre;ophøre;बंद करना;بند کرو;прекратить;انقطع;Word
ceiling;techo;Decke;シーリング;天花板;天花板;천장;teto;plafond;soffitto;plafond;tak;tak;loft;छत;چھت;потолок;سقف;Word
celebrate;celebrar;zelebrieren;祝う;庆祝;慶祝;축하하다;comemoro;célébrer;celebrare;vieren;fira;feire;fejre;जश्न मनाना;منانا;праздновать;احتفل;Word
celebration;celebracion;Feier;お祝い;庆典;慶典;축하;celebração;fête;celebrazione;viering;firande;feiring;fest;उत्सव;جشن;праздник;احتفال;Word
cell;celúla;Zelle;細胞;细胞;細胞;셀;célula;cellule;cellula;cel;cell;celle;celle;कक्ष;سیل;клетка;خلية;Word
cell phone;Teléfono móvil;Handy;携帯電話;手机;手機;휴대전화;celular;téléphone portable;cellulare;mobiele telefoon;mobiltelefon;mobiltelefon;mobiltelefon;सेलफोन;موبائل فون;сотовый телефон;الهاتف الخلوي;Word
cent;centavo;Cent;セント;分;分;센트;centavo;cent;cento;cent;cent;cent;Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.;प्रतिशत;سینٹ;цент;سنت;Word
center;centro;Center;中心;中心;中心;센터;Centro;centre;centro;centrum;Centrum;senter;centrum;केंद्र;مرکز;центр;مركز;Word
centimeter;centímetro;Zentimeter;センチメートル;厘米;厘米;센티미터;centímetro;centimètre;centimetro;centimeter;centimeter;centimeter;centimeter;सेंटीमीटर;سینٹی میٹر;сантиметр;سنتيمتر;Word
central;central;zentral;中央;中央;中央;본부;central;central;centrale;centraal;central;sentral;central;केंद्रीय;مرکزی;центральный;وسط;Word
century;siglo;Jahrhundert;世紀;世纪;世紀;세기;século;siècle;secolo;eeuw;århundrade;århundre;århundrede;शतक;صدی;век;قرن;Word
ceremony;ceremonia;Zeremonie;式;仪式;儀式;의식;cerimônia;cérémonie;cerimonia;ceremonie;ceremoni;seremoni;ceremoni;समारोह;تقریب;церемония;احتفال;Word
certain;cierto;bestimmt;特定;肯定;肯定;확실한;certo;certain;certo;zeker;vissa;sikker;bestemte;कुछ;یقینی;определенный;تأكيد;Word
certainly;ciertamente;sicherlich;そうです;当然;當然;틀림없이;certamente;certainement;certamente;zeker;säkert;sikkert;sikkert;निश्चित रूप से;یقینی طور پر;конечно;بالتأكيد;Word
certificate;certificado;Zertifikat;証明書;证书;證書;자격증;certificado;certificat;certificato;certificaat;certifikat;sertifikat;certifikat;प्रमाणपत्र;سرٹیفیکیٹ;сертификат;شهادة;Word
chain;cadena;Kette;鎖;链;鏈;체인;corrente;chaîne;catena;ketting;kedja;kjede;kæde;ज़ंजीर;زنجیر;цепь;سلسلة;Word
chair;silla;Stuhl;椅子;椅子;椅子;의자;cadeira;chaise;sedia;stoel;stol;stol;stol;कुर्सी;کرسی;стул;كرسي;Word
chairman;presidente;Vorsitzende;会長;主席;主席;의장;presidente;président;presidente;Voorzitter;ordförande;Formann;formand;अध्यक्ष;چیئرمین;председатель;رئيس;Word
chairwoman;presidenta;Vorsitzende;会長;女主席;女主席;여자 의장;presidente;présidente;presidentessa;voorzitter;kvinnlig ordförande;styreleder;formand;प्रधानिका;چیئر وومن;председатель;رئيسة;Word
challenge;desafío;Herausforderung;チャレンジ;挑战;挑戰;도전;desafio;défi;sfida;uitdaging;utmaning;utfordring;udfordring;चुनौती;چیلنج;испытание;تحدي;Word
chamber;cámara;Kammer;チャンバー;室;室;방;câmara;chambre;Camera;kamer;kammare;kammer;kammer;कक्ष;چیمبر;камера;غرفة;Word
chance;oportunidad;Chance;チャンス;机会;機會;가능성;chance;chance;opportunità;kans;chans;sjanse;chance;अवसर;موقع;шанс;فرصة;Word
change;cambiar;ändern;変化;改变;改變;변화;mudar;changement;modifica;wijziging;förändra;endring;lave om;परिवर्तन;تبدیلی;изменять;يتغير;Word
channel;canal;Kanal;チャネル;渠道;渠道;채널;canal;canaliser;canale;kanaal;kanal;kanal;kanal;चैनल;چینل;канал;قناة;Word
chapter;capítulo;Kapitel;章;章节;章節;장;capítulo;chapitre;capitolo;hoofdstuk;kapitel;kapittel;kapitel;अध्याय;باب;глава;الفصل;Word
character;personaje;Charakter;キャラクター;特点;特點;성격;personagem;personnage;carattere;karakter;karaktär;karakter;Karakter;चरित्र;کردار;характер;شخصية;Word
characteristic;característica;charakteristisch;特性;特征;特徵;특성;característica;caractéristique;caratteristica;karakteristiek;karakteristisk;karakteristisk;egenskab;विशेषता;خصوصیت;характеристика;صفة مميزة;Word
charge;cargar;Aufladung;充電;收费;收費;요금;cobrar;charge;carica;aanval;avgift;lade;oplade;शुल्क;چارج;заряжать;تكلفة;Word
charity;caridad;Wohltätigkeit;チャリティー;慈善机构;慈善機構;자선 단체;caridade;charité;beneficenza;goed doel;välgörenhet;veldedighet;velgørenhed;दान;صدقہ;благотворительность;صدقة;Word
chart;cuadro;Diagramm;チャート;图表;圖表;차트;gráfico;graphique;grafico;grafiek;Diagram;diagram;diagram;चार्ट;چارٹ;диаграмма;جدول;Word
chase;perseguir;Verfolgungsjagd;追跡;追赶;追趕;뒤쫓다다;perseguir;chasse;caccia;achtervolging;jaga;jage;jage;पीछा करना;پیچھا;гнаться;يطارد;Word
chat;charlar;Plaudern;チャット;聊天;聊天;채팅;bater papo;discuter;chiacchierata;chatten;chatt;chatte;snak;बात करना;چیٹ;чат;محادثة;Word
cheap;barato;billig;安い;便宜的;便宜的;값이 싼;barato;bon marché;economico;goedkoop;billig;billig;billig;सस्ता;سستا;дешевый;رخيص;Word
cheaply;barato;billig;安く;便宜地;便宜地;싸게;barato;à bon marché;a buon mercato;goedkoop;billigt;billig;billigt;सस्ते में;سستے میں;дешево;رخيص;Word
cheat;engañar;schummeln;浮気;欺骗;欺騙;속이다;trair;tricher;imbroglione;bedriegen;fuska;jukse;snyde;धोखा;دھوکہ;изменять;يغش;Word
check;controlar;überprüfen;チェック;查看;查看;확인하다;verificar;vérifier;controllo;rekening;kolla upp;Sjekk;kontrollere;जाँच करना;چیک کریں;проверять;يفحص;Word
cheerful;alegre;heiter;陽気な;快乐;快樂;쾌활한;alegre;joyeux;allegro;vrolijk;glad;munter;glad;खुश;خوش مزاج;жизнерадостный;مبتهج;Word
cheese;queso;Käse;チーズ;奶酪;奶酪;치즈;queijo;fromage;formaggio;kaas;ost;ost;ost;पनीर;پنیر;сыр;جبنه;Word
chemical;químico;chemisch;化学;化学品;化學品;화학적인;químico;chimique;chimico;chemisch;kemisk;kjemisk;kemisk;रासायनिक;کیمیائی;химический;المواد الكيميائية;Word
chemist;químico;Chemiker;化学者;化学家;化學家;화학자;químico;chimiste;chimico;scheikundige;kemist;kjemiker;kemiker;रसायनज्ञ;کیمسٹ;химик;كيميائي;Word
chemistry;química;Chemie;化学;化学;化學;화학;química;chimie;chimica;scheikunde;kemi;kjemi;kemi;रसायन विज्ञान;کیمسٹری;химия;كيمياء;Word
chest;pecho;Brust;胸;胸部;胸部;가슴;peito;poitrine;Petto;borst;bröst;bryst;bryst;छाती;سینہ;грудь;صدر;Word
chew;masticar;kauen;噛む;嚼;嚼;씹다;mastigar;mâcher;masticare;kauwen;Tugga;tygge;tygge;चबाना;چبانا;жевать;مضغ;Word
chicken;pollo;Huhn;鶏;鸡;雞;닭;frango;poulet;pollo;kip;kyckling;kylling;kylling;मुर्गा;چکن;курица;فرخة;Word
chief;jefe;Chef;チーフ;首席;首席;셰프;chefe;chef;capo;chef;chef;sjef;chef;अध्यक्ष;چیف;главный;رئيس;Word
child;niño;Kind;子供;孩子;孩子;어린이;criança;enfant;bambino;kind;barn;barn;barn;बच्चा;بچہ;ребенок;طفل;Word
childhood;infancia;Kindheit;子供時代;童年;童年;어린 시절;infância;enfance;infanzia;jeugd;barndom;barndom;barndom;बचपन;بچپن;детство;طفولة;Word
chin;mentón;kinn;顎;下巴;下巴;턱;queixo;menton;mento;kin;haka;hake;hage;ठोड़ी;ٹھوڑی;подбородок;ذقن;Word
chip;chip;Chip;チップ;芯片;芯片;칩;lasca;ébrécher;patata fritta;chippen;chip;chip;chip;टुकड़ा;چپ;чип;رقاقة;Word
chocolate;chocolate;Schokolade;チョコレート;巧克力;巧克力;초콜릿;chocolate;chocolat;cioccolato;chocolade;choklad;sjokolade;chokolade;चॉकलेट;چاکلیٹ;шоколад;شوكولاتة;Word
choice;elección;Auswahl;選択;选择;選擇;선택;escolha;choix;scelta;keuze;val;valg;valg;पसंद;انتخاب;выбор;خيار;Word
choose;elegir;wählen;選ぶ;选择;選擇;선택하다;escolher;choisir;scegliere;kiezen;välja;velge;vælge;चुनना;منتخب کریں;выбирать;يختار;Word
chop;cortar;hacken;チョップ;劈;劈;촙;cortar;hacher;taglio;karbonade;hacka;hugge;hakke;काटना;کاٹنا;нарезать;يقطع;Word
church;iglesia;Kirche;教会;教会;教會;교회;igreja;église;Chiesa;kerk;kyrka;kirke;kirke;गिरजाघर;چرچ;церковь;كنيسة;Word
cigarette;cigarrillo;Zigarette;シガレット;香烟;香煙;담배;cigarro;cigarette;sigaretta;sigaret;cigarett;sigarett;cigaret;सिगरेट;سگریٹ;сигарета;سيجارة;Word
circle;círculo;Kreis;丸;圆圈;圓圈;원;círculo;cercle;cerchio;cirkel;cirkel;sirkel;cirkel;घेरा;دائرہ;круг;دائرة;Word
circumstance;circunstancia;Umstand;状況;环境;環境;상황;circunstância;circonstance;circostanza;omstandigheid;omständighet;omstendighet;omstændighed;परिस्थिति;صورت حال;обстоятельство;ظرف;Word
citizen;ciudadano;Bürger;市民;公民;公民;시민;cidadão;citoyen;cittadino;inwoner;medborgare;borger;borger;नागरिक;شہری;гражданин;مواطن;Word
city;ciudad;Stadt;街;城市;城市;도시;cidade;ville;città;stad;stad;by;by;शहर;شہر;город;مدينة;Word
civil;civil;bürgerlich;民事;民间的;民間的;예의 바른;Civil;civil;civile;civiel;civil;sivil;civil;नागरिक;سول;гражданский;مدني;Word
claim;afirmar;beanspruchen;請求;宣称;宣稱;주장하다;alegar;réclamation;reclamo;claim;krav;krav;påstand;दावा;دعوی;требовать;مطالبة;Word
class;clase;Klasse;クラス;班级;班級;수업;aula;classe;classe;klas;klass;klasse;klasse;कक्षा;کلاس;сорт;فصل;Word
classic;clásico;klassisch;クラシック;经典的;經典的;권위 있는;clássico;classique;classico;klassiek;klassisk;klassisk;klassisk;क्लासिक;کلاسک;классический;كلاسيكي;Word
classroom;aula;Klassenzimmer;クラスルーム;课堂;課堂;교실;sala de aula;Salle de classe;aula;klas;klassrum;klasserom;klasseværelset;कक्षा;کلاس روم;класс;قاعة الدراسة;Word
clean;limpio;sauber;綺麗;干净的;乾淨的;깨끗한;limpar;faire le ménage;pulito;schoon;rena;ren;ren;साफ़;صاف;чистый;ينظف;Word
clear;claro;klar;クリア;清除;清除;분명한;claro;clair;chiaro;duidelijk;klar;klar;klar;साफ़;صاف;прозрачный;واضح;Word
clearly;claramente;deutlich;明らかに;清楚地;清楚地;분명히;claramente;clairement;chiaramente;duidelijk;klart;helt klart;klart;स्पष्ट रूप से;واضح طور پر;четко;بوضوح;Word
clear out;aclarar;ausräumen;空にする;清除;清除;비우다;limpar;évacuer;sgombrare;opruimen;rensa ut;rydde ut;rydde;मिटा दें;صاف;вычищать;امسح;Word
clerk;oficinista;Sachbearbeiter;店員;文员;文員;사무원;atendente;greffier;impiegato;klerk;kontorist;kontorist;ekspedient;क्लर्क;کلرک;клерк;موظف;Word
click;hacer clic;klicken;クリック;点击;點擊;딸깍 하는 소리;clique;Cliquez sur;clic;Klik;klick;klikk;klik;क्लिक;کلک کریں;нажмите;انقر;Word
client;cliente;Klient;クライアント;客户;客戶;고객;cliente;client;cliente;cliënt;klient;klient;klient;ग्राहक;کلائنٹ;клиент;عميل;Word
climate;clima;Klima;気候;气候;氣候;기후;clima;climat;clima;klimaat;klimat;klima;klima;जलवायु;آب و ہوا;климат;مناخ;Word
climb;trepar;steigen;登る;爬;爬;오르다;escalar;grimper;scalata;beklimmen;klättra;klatre;klatre;चढ़ना;چڑھنا;взбираться;تسلق;Word
clock;reloj;Uhr;時計;钟;鐘;시계;relógio;horloge;orologio;klok;klocka;klokke;ur;घड़ी;گھڑی;Часы;ساعة;Word
close 1;cerrar 1;schließen 1;閉じる 1;关闭 1;關閉 1;닫기 1;fechar 1;fermer 1;chiudere 1;sluit 1;stäng 1;lukke 1;lukke 1;करीब 1;بند کریں 1;закрыть 1;أغلق 1;Word
close 2;cerrar 2;schließen 2;閉じる 2;关闭 2;關閉 2;닫기 2;fechar 2;fermer 2;chiudere 2;sluiten 2;stäng 2;lukke 2;lukke 2;करीब 2;بند کریں 2;закрыть 2;أغلق 2;Word
closed;cerrado;geschlossen;閉まっている;关闭;關閉;닫은;fechado;fermé;Chiuso;gesloten;stängd;lukket;lukket;बंद किया हुआ;بند;закрыто;مغلق;Word
closet;armario;Kleiderschrank;クローゼット;壁橱;壁櫥;벽장;armário;placard;guardaroba;kast;garderob;skap;skab;अलमारी;الماری;шкаф;خزانة;Word
cloth;paño;Tuch;布;布;布;옷감;pano;chiffon;stoffa;lap;trasa;klut;klæde;कपड़ा;کپڑا;ткань;قماش;Word
clothes;ropa;Kleidung;服;衣服;衣服;옷;roupas;vêtements;vestiti;kleren;kläder;klær;tøj;कपड़े;کپڑے;одежда;ملابس;Word
clothing;ropa;Kleidung;衣類;衣服;衣服;의류;roupas;vêtements;vestiario;kleding;Kläder;klær;tøj;कपड़े;لباس;одежда;ملابس;Word
cloud;nube;Wolke;雲;云;雲;구름;nuvem;nuage;nuvola;wolk;moln;Sky;Sky;बादल;بادل;облако;سحاب;Word
club;club;Verein;クラブ;俱乐部;俱樂部;클럽;clube;club;club;club;klubb;klubb;forening;क्लब;کلب;клуб;النادي;Word
cm;cm;cm;cm;厘米;厘米;센티미터;cm;cm;cm;cm;centimeter;cm;cm;सेमी;سینٹی میٹر;см;سم;Word
coach;entrenador;Coach;コーチ;教练;教練;코치;treinador;entraîneur;allenatore;coach;tränare;trener;træner;प्रशिक्षक;کوچ;тренер;مدرب;Word
coal;carbón;Kohle;石炭;煤炭;煤炭;석탄;carvão;charbon;carbone;steenkool;kol;kull;kul;कोयला;کوئلہ;уголь;فحم;Word
coast;costa;Küste;海岸;海岸;海岸;해안;costa;côte;costa;kust;kust;kyst;kyst;तट;ساحل;побережье;ساحل;Word
coat;abrigo;Mantel;コート;外套;外套;코트;casaco;manteau;cappotto;jas;täcka;frakk;frakke;परत;کوٹ;пальто;معطف;Word
code;código;Code;コード;代码;代碼;암호;código;code;codice;code;koda;kode;kode;कोड;کوڈ;код;شفرة;Word
coffee;café;Kaffee;コーヒー;咖啡;咖啡;커피;café;café;caffè;koffie;kaffe;kaffe;kaffe;कॉफ़ी;کافی;кофе;قهوة;Word
coin;moneda;Münze;コイン;硬币;硬幣;동전;moeda;pièce de monnaie;moneta;munt;mynt;mynt;mønt;सिक्का;سکہ;монета;عملة;Word
cold;frío;kalt;寒い;寒冷的;寒冷的;추운;frio;froid;Freddo;koud;kall;kald;kold;ठंडा;ٹھنڈ;холодный;بارد;Word
coldly;fríamente;kalt;冷たく;冷冷地;冷冷地;춥게;friamente;froidement;freddamente;koud;kallt;kaldt;koldt;स्र्काई से;سردی سے;холодно;ببرود;Word
collapse;colapsar;Zusammenbruch;崩壊;坍塌;坍塌;무너지다;colapso;effondrement;crollo;instorten;kollaps;kollapse;bryder sammen;गिर जाना;گرنے;крах;ينهار;Word
colleague;colega;Kollege;同僚;同事;同事;동료;colega;collègue;collega;collega;kollega;kollega;kollega;सहकर्मी;ساتھی;коллега;زميل;Word
collect;recolectar;sammeln;収集;收集;收集;모으다;coletar;collecter;raccogliere;verzamelen;samla;samle inn;indsamle;इकट्ठा करना;جمع;собирать;يجمع;Word
collection;recopilación;Sammlung;コレクション;收藏;收藏;수집;coleção;collection;collezione;verzameling;samling;samling;kollektion;संग्रह;مجموعہ;коллекция;مجموعة;Word
college;colega;Hochschule;カレッジ;大学;大學;대학;faculdade;collège;Università;middelbare school;högskola;høyskole;kollegium;कॉलेज;کالج;колледж;كلية;Word
color;color;Farbe;色;颜色;顏色;색상;cor;couleur;colore;kleur;Färg;farge;farve;रंग;رنگ;цвет;لون;Word
column;columna;Spalte;桁;柱子;柱子;열;coluna;colonne;colonna;kolom;kolumn;kolonne;kolonne;कॉलम;کالم;столбец;عمود;Word
combination;combinación;Kombination;組み合わせ;组合;組合;콤비네이션;combinação;combinaison;combinazione;combinatie;kombination;kombinasjon;kombination;संयोजन;مجموعہ;комбинация;مزيج;Word
combine;combinar;kombinieren;混ぜる;结合;結合;결합하다;combinar;combiner;combinare;combineren;kombinera;kombinere;forene;मिलाना;یکجا;комбинировать;يجمع;Word
come;venir;kommen;来て;来;來;오다;vir;venir;Venire;komen;komma;komme;komme;आना;آو;приходить;يأتي;Word
come about;ocurrir;zustande kommen;起こる;发生;發生;~에 대해;acontecer;arriver;venire;tot stand komen;ske;komme til;komme i stand;गुज़रना;کے بارے میں آو;прийти о;تعال;Word
come away;desprenderse;komm weg;離れていく;走开;走開;떠나;venha embora;s'en aller;Vieni via;kom weg;kom bort;komme unna;komme væk;चले आओ;دور آئے;уходить;تعال بعيدا;Word
comedy;comedia;Komödie;コメディ;喜剧;喜劇;코메디;comédia;comédie;commedia;komedie;komedi;komedie;komedie;कॉमेडी;مزاحیہ;комедия;كوميديا;Word
come on;vamos;Komm schon;来て;快点;快點;어서 해봐요;vamos;allez;Dai;kom op;kom igen;kom igjen;kom nu;चलो भी;چلو بھئی;ну давай же;تعال;Word
come over;venir;Komm;やって来る;过来;過來;이리와;venha aqui;venir;venire;kom langs;kom över;kom over;kom over;मिलने आना;ادھر آوء;приезжать;تعال إلى هنا;Word
comfort;comodidad;Kompfort;快適;舒适;舒適;편안;conforto;confort;comfort;comfort;bekvämlighet;komfort;komfort;आराम;آرام;комфорт;راحة;Word
comfortable;cómodo;komfortabel;快適;舒服的;舒服的;편안한;confortável;confortable;comodo;comfortabel;bekväm;komfortabel;komfortabel;आरामदायक;آرام دہ;комфортный;مريح;Word
comfortably;cómodamente;bequem;快適に;舒适地;舒適地;편안하게;confortavelmente;confortablement;comodamente;comfortabel;bekvämt;komfortabelt;komfortabelt;आराम से;آرام سے;комфортно;بشكل مريح;Word
command;dominio;Befehl;指図;命令;命令;명령;comando;commande;comando;commando;kommando;kommando;kommando;आज्ञा;کمانڈ;команда;يأمر;Word
comment;comentario;Kommentar;コメント;评论;評論;논평;Comente;commentaire;commento;opmerking;kommentar;kommentar;kommentar;टिप्पणी;تبصرہ;комментарий;تعليق;Word
commercial;comercial;Werbung;商業;商业的;商業的;광고;comercial;commercial;commerciale;reclame;kommersiell;kommersielle;kommercielle;व्यावसायिक;تجارتی;коммерческий;تجاري;Word
commission;comisión;Kommission;手数料;委员会;委員會;수수료;comissão;commission;commissione;commissie;provision;kommisjon;provision;आयोग;کمیشن;комиссия;عمولة;Word
commit;comprometerse;begehen;専念;犯罪;犯罪;저지르다;comprometer-se;commettre;commettere;verbinden;begå;begå;begå;वादा करना;عزم;совершить;يقترف;Word
commitment;compromiso;Engagement;献身;承诺;承諾;약속;compromisso;engagement;impegno;inzet;engagemang;forpliktelse;forpligtelse;प्रतिबद्धता;عزم;обязательство;التزام;Word
committee;comité;Ausschuss;委員会;委员会;委員會;위원회;comitê;Comité;Comitato;commissie;utskott;komité;udvalg;समिति;کمیٹی;комитет;لجنة;Word
common;común;gemeinsam;一般;常见的;常見的;흔한;comum;commun;comune;gewoon;allmänning;felles;almindelige;सामान्य;عام;общий;شائع;Word
commonly;comúnmente;häufig;普通に;通常;通常;천하게;comumente;communément;comunemente;algemeen;vanligen;vanlig;almindeligt;आमतौर;عام طور پر;обычно;عادة;Word
communicate;comunicar;kommunizieren;伝える;交流;交流;의사소통하다;comunicar;communiquer;comunicare;communiceren;kommunicera;kommunisere;kommunikere;बातचीत करना;بات چیت;общаться;يتواصل;Word
communication;comunicación;Kommunikation;コミュニケーション;沟通;溝通;의사소통;comunicação;communication;comunicazione;communicatie;kommunikation;kommunikasjon;meddelelse;संचार;مواصلات;коммуникация;تواصل;Word
community;comunidad;Gemeinschaft;コミュニティ;社区;社區;지역 사회;comunidade;communauté;Comunità;gemeenschap;gemenskap;samfunnet;fællesskab;समुदाय;برادری;сообщество;مجتمع;Word
company;compañía;Unternehmen;会社;公司;公司;회사;empresa;entreprise;azienda;bedrijf;företag;selskap;Selskab;कंपनी;کمپنی;компания;شركة;Word
compare;comparar;vergleichen;比較;比较;比較;비교하다;comparar;comparer;confrontare;vergelijken;jämföra;sammenligne;sammenligne;तुलना करना;موازنہ;сравнивать;يقارن;Word
comparison;comparación;Vergleich;比較;比较;比較;비교;comparação;comparaison;confronto;vergelijking;jämförelse;sammenligning;sammenligning;तुलना;موازنہ;сравнение;مقارنة;Word
compete;competir;wetteifern;競争;竞争;競爭;경쟁하다;competir;rivaliser;competere;concurreren;konkurrera;konkurrere;konkurrere;पूरा;مقابلہ;конкурировать;تنافس;Word
competition;competencia;Wettbewerb;コンペ;竞赛;競賽;경쟁;concorrência;concours;concorrenza;concurrentie;konkurrens;konkurranse;konkurrence;प्रतियोगिता;مقابلہ;соревнование;مسابقة;Word
competitive;competitivo;wettbewerbsfähig;競争力;竞争的;競爭的;경쟁력 있는;competitivo;compétitif;competitivo;competitief;konkurrenskraftig;konkurransedyktig;konkurrencedygtige;प्रतिस्पर्द्धी;مسابقتی;конкурентоспособный;تنافسي;Word
complain;quejarse;sich beschweren;不平をいう;抱怨;抱怨;불평하다;reclamar;se plaindre;reclamo;klagen;klaga;klage;brokke sig;शिकायत करना;شکایت;жаловаться;يشتكي;Word
complete;completo;vollständig;完了;完全的;完全的;완벽한;completo;complet;completare;compleet;komplett;fullstendig;komplet;पूरा;مکمل;полный;مكتمل;Word
completely;completamente;vollständig;完全に;完全地;完全地;완전히;completamente;complètement;completamente;volledig;fullständigt;helt;fuldstændig;पूरी तरह;مکمل طور پر;полностью;بالكامل;Word
complex;complejo;Komplex;複雑;复杂的;複雜的;복잡한;complexo;complexe;complesso;complex;komplex;kompleks;kompleks;जटिल;پیچیدہ;сложный;معقد;Word
complicate;complicar;komplizieren;複雑な;复杂化;複雜化;복잡하다;complicar;compliquer;complicato;compliceren;komplicera;komplisere;komplicere;जटिल;پیچیدہ;усложнять;يعقد;Word
complicated;complicado;kompliziert;複雑;复杂的;複雜的;복잡한;complicado;compliqué;complicato;ingewikkeld;komplicerad;komplisert;kompliceret;उलझा हुआ;پیچیدہ;сложный;معقد;Word
component;componente;Komponente;成分;成分;成分;요소;componente;composant;componente;bestanddeel;komponent;komponent;komponent;अवयव;جزو;компонент;عنصر;Word
computer;computadora;Computer;コンピューター;电脑;電腦;컴퓨터;computador;ordinateur;computer;computer;dator;datamaskin;computer;कंप्यूटर;کمپیوٹر;компьютер;حاسوب;Word
concentrate;concentrarse;konzentrieren;集中;集中;集中;집중하다;concentrado;concentré;concentrato;concentreren;koncentrera;konsentrere;koncentrere;ध्यान केंद्रित करना;توجہ مرکوز;сконцентрироваться;يركز;Word
concentration;concentración;Konzentration;集中;专注;專注;집중;concentração;concentration;concentrazione;concentratie;koncentration;konsentrasjon;koncentration;एकाग्रता;توجہ مرکوز کرنا;концентрация;تركيز;Word
concept;concepto;Konzept;コンセプト;概念;概念;개념;conceito;concept;concetto;concept;begrepp;konsept;koncept;अवधारणा;تصور;концепция;مفهوم;Word
concern;inquietud;Anliegen;懸念;忧虑;憂慮;우려;preocupação;préoccupation;preoccupazione;zorg;oro;bekymring;bekymring;चिंता;تشویش;беспокойство;هَم;Word
concerned;preocupado;betroffen;心配している;担心的;擔心的;관심 있는;preocupado;concerné;interessato;bezorgd;bekymrad;bekymret;berørte;चिंतित;فکرمند;обеспокоенный;قلقان;Word
